Xist
Tsix
Gm22624
Gm22832
Gm23052
Gm23770
Gm23863
Gm24828
Gm25359
Gm25729
n-R5s1
Gm33469
Gm25565
Gm22119
Gm47281
Gm27466
Gm27663
Gm27701
Gm28018
Hya
Hyab
Hydk
Hykk1
Hykk2
Yeae
m1Nish
Murvy
YB10
Gtl8
Gt(VET53C)Hiir
Gm36987
Gm37032
Gm37158
Gm37222
Gm37236
Gm37951
Gm38094
1700020D14Rik
C030026M15Rik
4932431L22Rik
Gm21723
Gm21780
Gm21801
Gm21809
Gm21821
Gm21842
Gm21860
Gm21914
Gm21916
Gm20963
Gm20978
Gm20987
Gm21413
Gm21419
Gm21428
Gm21450
Gm21529
Gm21539
Gm21562
Gm21572
Gm21588
Gm21599
Gm21626
Gm21633
Gm30174
Gm30353
Gm30686
Gm30705
Gm31422
Gm31942
Gm32114
Gm32181
Gm33272
Gm33954
Gm34217
Gm34550
Gm34716
Gm34786
Gm35070
Gm35557
Gm35670
Gm36261
Gm36345
Gm36467
Gm36782
Gm47283
Gm28072
Gm28073
Gm28074
Gm28081
Gm28082
Gm28088
Gm28089
Gm28091
Gm28092
Gm28103
Gm28104
Gm28108
Gm28109
Gm28124
Gm28126
Gm28127
Gm28128
Gm28129
Gm28130
Gm28131
Gm28132
Gm28133
Gm28134
Gm28135
Gm28137
Gm28138
Gm28147
Gm28152
Gm28157
Gm28170
Gm28173
Gm28174
Gm28176
Gm28194
Gm28197
Gm28201
Gm28202
Gm28206
Gm28207
Gm28208
Gm28210
Gm28212
Gm28216
Gm28217
Gm28218
Gm28220
Gm28225
Gm28226
Gm28233
Gm28235
Gm28236
Gm28238
Gm28242
Gm28244
Gm28245
Gm28246
Gm28249
Gm28250
Gm28252
Gm28254
Gm28259
Gm28260
Gm28264
Gm28274
Gm28276
Gm28278
Gm28279
Gm28280
Gm28284
Gm28291
Gm28293
Gm28295
Gm28296
Gm28297
Gm28298
Gm28300
Gm28301
Gm28310
Gm28311
Gm28312
Gm28313
Gm28315
Gm28316
Gm28317
Gm28318
Gm28325
Gm28326
Gm28331
Gm28332
Gm28333
Gm28336
Gm28338
Gm28345
Gm28346
Gm28348
Gm28352
Gm28355
Gm28357
Gm28365
Gm28367
Gm28393
Gm28394
Gm28395
Gm28398
Gm28405
Gm28406
Gm28407
Gm28421
Gm28422
Gm28425
Gm28426
Gm28427
Gm28430
Gm28431
Gm28432
Gm28440
Gm28442
Gm28444
Gm28445
Gm28454
Gm28456
Gm28457
Gm28458
Gm28460
Gm28461
Gm28462
Gm28463
Gm28464
Gm28469
Gm28470
Gm28472
Gm28475
Gm28482
Gm28485
Gm28486
Gm28487
Gm28488
Gm28491
Gm28509
Gm28517
Gm28518
Gm28519
Gm28520
Gm28521
Gm28522
Gm28532
Gm28538
Gm28540
Gm28541
Gm28545
Gm28547
Gm28549
Gm28550
Gm28554
Gm28561
Gm28565
Gm28566
Gm28568
Gm28570
Gm28571
Gm28575
Gm28585
Gm28587
Gm28588
Gm28593
Gm28595
Gm28600
Gm28604
Gm28606
Gm28612
Gm28613
Gm28617
Gm28619
Gm28632
Gm28633
Gm28656
Gm28663
Gm28664
Gm28668
Gm28670
Gm28672
Gm28673
Gm28674
Gm28679
Gm28681
Gm28684
Gm28687
Gm28689
Gm28690
Gm28691
Gm28692
Gm28696
Gm28697
Gm28701
Gm28702
Gm28704
Gm28709
Gm28718
Gm28725
Gm28726
Gm28732
Gm28733
Gm28735
Gm28741
Gm28743
Gm28753
Gm28754
Gm28758
Gm28761
Gm28762
Gm28763
Gm28764
Gm28765
Gm28771
Gm28772
Gm28774
Gm28775
Gm28786
Gm28789
Gm28798
Gm28799
Gm28810
Gm28811
Gm28813
Gm28816
Gm28817
Gm28820
Gm28823
Gm28824
Gm28832
Gm28834
Gm28839
Gm28842
Gm28850
Gm28851
Gm28852
Gm28853
Gm28858
Gm28866
Gm28878
Gm28880
Gm28886
Gm28887
Gm28889
Gm28890
Gm28898
Gm28908
Gm28930
Gm28938
Gm28944
Gm28945
Gm28947
Gm28948
Gm28950
Gm28954
Gm28955
Gm28962
Gm28963
Gm28964
Gm28965
Gm28966
Gm28970
Gm28971
Gm28972
Gm28977
Gm28984
Gm28985
Gm28986
Gm28987
Gm28993
Gm28994
Gm28999
Gm29003
Gm29021
Gm29023
Gm29025
Gm29027
Gm29028
Gm29042
Gm29043
Gm29044
Gm29046
Gm29056
Gm29060
Gm29061
Gm29063
Gm29070
Gm29071
Gm29074
Gm29077
Gm29078
Gm29080
Gm29081
Gm29082
Gm29089
Gm29090
Gm29091
Gm29098
Gm29108
Gm29116
Gm29117
Gm29122
Gm29130
Gm29131
Gm29132
Gm29146
Gm29158
Gm29162
Gm29166
Gm29182
Gm29190
Gm29191
Gm29193
Gm29194
Gm29198
Gm29203
Gm29204
Gm29206
Gm29207
Gm29209
Gm29210
Gm29213
Gm29215
Gm29217
Gm29219
Gm29220
Gm29221
Gm29222
Gm29225
Gm29226
Gm29248
Gm29250
Gm29252
Gm29255
Gm29265
Gm29270
Gm29271
Gm29274
Gm29275
Gm29277
Gm29278
Gm29285
Gm29286
Gm29297
Gm29301
Gm29302
Gm29303
Gm29305
Gm29309
Gm29311
Gm29313
Gm29315
Gm29316
Gm29321
Gm29324
Gm29329
Gm29338
Gm29342
Gm29343
Gm29349
Gm29351
Gm29353
Gm29360
Gm29363
Gm29364
Gm29368
Gm29370
Gm29373
Gm29379
Gm29380
Gm29381
Gm29384
Gm29386
Gm29392
Gm29393
Gm29399
Gm29404
Gm29405
Gm29406
Gm29409
Gm29416
Gm29421
Gm29425
Gm29426
Gm29433
Gm29436
Gm29444
Gm29445
Gm29446
Gm29447
Gm29449
Gm29450
Gm29457
Gm29466
Gm29467
Gm29472
Gm29473
Gm29497
Gm29498
Gm29504
Gm29511
Gm29522
Gm29527
Gm29531
Gm29532
Gm29537
Gm29547
Gm29549
Gm29555
Gm29557
Gm29565
Gm29566
Gm29568
Gm29569
Gm29578
Gm29579
Gm29580
Gm29581
Gm29584
Gm29606
Gm29612
Gm29616
Gm29622
